Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
54,Asus,Intel Core i7-10870H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,26290000
55,Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512,0,On board,0,13.3, 1920 x 1080,1.3,25990000
56,Dell,Intel Core i7-1165G7,16 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.7,25590000
57,Dell,Intel Core i7-1165G7,8 GB,4266 MHz,512,0,NVIDIA GeForce MX350,2,13.3, 1920 x 1080,1.23,25290000
58,Dell,Intel Core i7-1165G7,16 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,14, 1920 x 1080,1.41,25190000
59,Acer,Intel Core i7-8565U,8 GB,2400 MHz,512,0,NVIDIA GeForce MX250,2,14, 1920 x 1080,1.5,24990000
60,MSI,Intel Core i7-10750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,24590000
61,Dell,Intel Core i7-1165G7,8 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.65,24090000
62,MSI,Intel Core i7-9750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.86,23990000
63,MSI,Intel Core i5-1135G7,8 GB,2666 MHz,512,0,On board,0,14, 1920 x 1080,1.29,23990000
64,Asus,AMD Ryzen 7-4800H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,23690000
65,Asus,Intel Core i5-10300H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.39,23490000
66,HP,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,13.3, 1920 x 1080,1.31,23290000
67,HP,Intel Core i7-10510U,8 GB,2666 MHz,512,0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,2,23290000
68,HP,AMD Ryzen 5-4500U,8 GB,3200 MHz,256,0,On board,0,13.3, 1920 x 1080,1.32,22990000
69,Asus,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.42,22590000
70,Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512,0,On board,0,14, 1920 x 1080,1.17,22490000
71,Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512,0,On board,0,14, 1920 x 1080,1.17,22490000
